molecule_chembl_id,Smiles,standard_type,standard_value,standard_units,assay_type,assay_organism,target_organism,pIC50
CHEMBL592048,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(N)=O)c2cccc(Cl)c2)C1,IC50,200.0,nM,B,Homo sapiens,Homo sapiens,6.699
CHEMBL2370009,CC(C)CCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)N1C(=O)[C@H](CC(C)C)NCC(=O)N[C@@H](Cc2ccccc2)C1=O,IC50,430.0,nM,B,Homo sapiens,Homo sapiens,6.367
CHEMBL354179,CC(C)CC(NC(=O)[C@H](Cc1ccccc1)N1Cc2nccn2C1=O)C(=O)N[C@@H](CC1CCCCC1)C(O)C(=O)OC(C)C,IC50,100.0,nM,B,Homo sapiens,Homo sapiens,7.0
CHEMBL1783181,Cc1cc(Cl)c(OCCOc2ccc(C3=C(C(=O)N(Cc4cccc(C)c4C)C4CC4)C4CNCC(C3)N4)cc2)c(Cl)c1,IC50,0.16,nM,B,Homo sapiens,Homo sapiens,9.796
CHEMBL506268,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(Cl)cc(C)c(C)c4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,0.3,nM,B,Homo sapiens,Homo sapiens,9.523
CHEMBL502925,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(CCCOc4cccc(Cl)c4)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,16.0,nM,B,Homo sapiens,Homo sapiens,7.796
CHEMBL504443,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(Cc3cccc(Cl)c3Cl)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,0.2,nM,B,Homo sapiens,Homo sapiens,9.699
CHEMBL502200,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(C)Cc3ccccc3Cl)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,3.2,nM,B,Homo sapiens,Homo sapiens,8.495
CHEMBL537221,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCCN2CCOCC2)C(C)C)C(C)C)ccc1OC.Cl,IC50,0.4,nM,B,Homo sapiens,Homo sapiens,9.398
CHEMBL536993,CNC(=O)CCNC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C.Cl,IC50,3.0,nM,B,Homo sapiens,Homo sapiens,8.523
CHEMBL536760,CC[C@H](NC(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](Cc1ccc(OC)c(OCCCOC)c1)C(C)C)C(C)C)C(N)=O.Cl,IC50,0.8,nM,B,Homo sapiens,Homo sapiens,9.097
CHEMBL559358,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC.Cl,IC50,0.6,nM,B,Homo sapiens,Homo sapiens,9.222
CHEMBL537876,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NC[C@@H](C)C(N)=O)C(C)C)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL537210,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCCC(=O)N(C)C)C(C)C)C(C)C)ccc1OC.Cl,IC50,7.0,nM,B,Homo sapiens,Homo sapiens,8.155
CHEMBL537667,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCC(N)=O)C(C)C)ccc1OC.Cl,IC50,3.0,nM,B,Homo sapiens,Homo sapiens,8.523
CHEMBL536519,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@@H](C)C(=O)NCCCN)C(C)C)ccc1OC.Cl,IC50,37.0,nM,B,Homo sapiens,Homo sapiens,7.432
CHEMBL535409,COCCCCc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCCN2CCOCC2)C(C)C)C(C)C)ccc1OC.Cl,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL497027,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2ccccc2F)C1,IC50,61.0,nM,B,Homo sapiens,Homo sapiens,7.215
CHEMBL495808,CCOCCCO[C@@H](c1cccc(Cl)c1Cl)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1,IC50,125.0,nM,B,Homo sapiens,Homo sapiens,6.903
CHEMBL497027,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2ccccc2F)C1,IC50,4.0,nM,B,Homo sapiens,Homo sapiens,8.398
CHEMBL497420,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cc(F)cc(Cl)c2)C1,IC50,28.0,nM,B,Homo sapiens,Homo sapiens,7.553
CHEMBL1076443,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2COC[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,55.0,nM,B,Homo sapiens,Homo sapiens,7.26
CHEMBL1076442,O=C(C1=C(c2ccc(CCCOc3c(F)ccc(F)c3Cl)cc2)C[C@H]2CNC[C@H]1N2)N(Cc1cccc(Cl)c1Cl)C1CC1,IC50,36.0,nM,B,Homo sapiens,Homo sapiens,7.444
CHEMBL1076463,COc1cccc(CN(C(=O)C2=C(c3ccc(CCCOc4c(F)ccc(F)c4Cl)cc3)CCNC2)C2CC2)c1C,IC50,87.0,nM,B,Homo sapiens,Homo sapiens,7.06
CHEMBL327190,O=C(N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CCc1ccccn1)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](CC(=O)N1CCOCC1)Cc1ccccc1,IC50,1.1,nM,B,Homo sapiens,Homo sapiens,8.959
CHEMBL2028948,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CCCCCCC(=O)N(C)CCS(=O)(=O)[O-])C(C)C)C(=O)NCc1ccccn1.[Na+],IC50,1.8,nM,B,Homo sapiens,Homo sapiens,8.745
CHEMBL497622,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@H](OCCCOC)c2cccc(Cl)c2F)C1,IC50,39.0,nM,B,Homo sapiens,Homo sapiens,7.409
CHEMBL497821,CCOCCCO[C@@H](c1ccccc1)[C@@H]1CCCN(C(=O)N[C@H](CNC)CC2CCCCC2)C1,IC50,447.0,nM,B,Homo sapiens,Homo sapiens,6.35
CHEMBL495587,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cc(C)ccc2F)C1,IC50,67.0,nM,B,Homo sapiens,Homo sapiens,7.174
CHEMBL550066,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H](N)CN(C(=O)c1ccc(CC)c(OCCCOC)c1)C(C)C,IC50,7.0,nM,B,Homo sapiens,Homo sapiens,8.155
CHEMBL550005,CCCCNC(=O)[C@@H](C[C@H](O)[C@@H](N)CN(C(=O)c1ccc(CC)c(OCCCOC)c1)C(C)C)C(C)C,IC50,10.0,nM,B,Homo sapiens,Homo sapiens,8.0
CHEMBL2028945,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CCCCCCC(=O)N(C)CCS(=O)(=O)[O-])C(C)C)C(=O)NCc1cccc[n+]1[O-].[Na+],IC50,0.31,nM,B,Homo sapiens,Homo sapiens,9.509
CHEMBL1790065,CC[C@@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)COc1ccccc1)C(C)C)C(=O)N(C)c1ccccn1,IC50,8.5,nM,B,Homo sapiens,Homo sapiens,8.071
CHEMBL453778,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4ccc(Cl)cc4)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,7.0,nM,B,Homo sapiens,Homo sapiens,8.155
CHEMBL455047,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)NCc3ccccc3Cl)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,116.0,nM,B,Homo sapiens,Homo sapiens,6.936
CHEMBL504403,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(C)Cc3ccccc3Cl)[C@H]3CNC[C@@H](C2)N3)cc1,IC50,6.8,nM,B,Homo sapiens,Homo sapiens,8.167
CHEMBL500205,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(C)Cc3ccccc3Cl)[C@H]3CN(C)C[C@@H](C2)N3)cc1,IC50,5.2,nM,B,Homo sapiens,Homo sapiens,8.284
CHEMBL508748,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(C)Cc3ccccc3Cl)[C@H]3CN(S(=O)(=O)Cc4ccccc4)C[C@@H](C2)N3)cc1,IC50,4.8,nM,B,Homo sapiens,Homo sapiens,8.319
CHEMBL475671,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(F)ccc(F)c4F)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,54.0,nM,B,Homo sapiens,Homo sapiens,7.268
CHEMBL443718,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(Cl)cc(F)cc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,29.0,nM,B,Homo sapiens,Homo sapiens,7.538
CHEMBL449505,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4cc(F)ccc4Br)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,582.0,nM,B,Homo sapiens,Homo sapiens,6.235
CHEMBL453778,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4ccc(Cl)cc4)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,694.0,nM,B,Homo sapiens,Homo sapiens,6.159
CHEMBL503129,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(CCCOc4c(Cl)cc(F)cc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,257.0,nM,B,Homo sapiens,Homo sapiens,6.59
CHEMBL507560,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(CCCOc4c(Cl)cc(C)cc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,60.0,nM,B,Homo sapiens,Homo sapiens,7.222
CHEMBL504443,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(Cc3cccc(Cl)c3Cl)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,9.1,nM,B,Homo sapiens,Homo sapiens,8.041
CHEMBL505760,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(C)Cc3ccccc3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,122.0,nM,B,Homo sapiens,Homo sapiens,6.914
CHEMBL500205,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(C)Cc3ccccc3Cl)[C@H]3CN(C)C[C@@H](C2)N3)cc1,IC50,86.0,nM,B,Homo sapiens,Homo sapiens,7.066
CHEMBL502200,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(C)Cc3ccccc3Cl)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,86.0,nM,B,Homo sapiens,Homo sapiens,7.066
CHEMBL508748,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(C)Cc3ccccc3Cl)[C@H]3CN(S(=O)(=O)Cc4ccccc4)C[C@@H](C2)N3)cc1,IC50,170.0,nM,B,Homo sapiens,Homo sapiens,6.77
CHEMBL350425,COC(=O)C(O)C(CC(C)C)NC(=O)C(Cc1c[nH]cn1)NC(=O)C(CC(=O)N(C)C)Cc1cccc2ccccc12,IC50,78.0,nM,B,Homo sapiens,Homo sapiens,7.108
CHEMBL305865,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H](NC(=O)N1CCOCC1)C(C)(C)c1ccccc1,IC50,65.0,nM,B,Homo sapiens,Homo sapiens,7.187
CHEMBL307917,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCc1ccccc1)NC(=O)N1CCOCC1,IC50,2.0,nM,B,Homo sapiens,Homo sapiens,8.699
CHEMBL74765,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,IC50,2.5,nM,B,Homo sapiens,Homo sapiens,8.602
CHEMBL1639,COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,IC50,0.6,nM,B,Homo sapiens,Homo sapiens,9.222
CHEMBL3144417,CCOC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,IC50,0.76,nM,B,Homo sapiens,Homo sapiens,9.119
CHEMBL196542,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2ccccn2)cc1,IC50,1000.0,nM,B,Homo sapiens,Homo sapiens,6.0
CHEMBL73712,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCNCC1,IC50,4.5,nM,B,Homo sapiens,Homo sapiens,8.347
CHEMBL496224,CCOCCCO[C@@H](c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CN)CC2CCCCC2)C1,IC50,190.0,nM,B,Homo sapiens,Homo sapiens,6.721
CHEMBL497200,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(C#N)c2)C1,IC50,86.0,nM,B,Homo sapiens,Homo sapiens,7.066
CHEMBL353900,CC(C)CC(NC(=O)[C@H](Cc1ccccc1)N1CCCC1=O)C(=O)N[C@@H](CC1CCCCC1)C(O)C(=O)OC(C)C,IC50,157.0,nM,B,Homo sapiens,Homo sapiens,6.804
CHEMBL1795904,CCn1ccc([C@H]2CCNC[C@@H]2C(=O)N(Cc2cc(CCCOC)cc(OCCOC)c2)C2CC2)cc1=O,IC50,200.0,nM,B,Homo sapiens,Homo sapiens,6.699
CHEMBL370778,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2ccccc2OC)cc1,IC50,900.0,nM,B,Homo sapiens,Homo sapiens,6.046
