molecule_chembl_id,Smiles,standard_type,standard_value,standard_units,assay_type,assay_organism,target_organism
CHEMBL499857,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cccc(OC(F)(F)F)c2)C1,IC50,69.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL519217,COCCCC[C@@](O)(c1cccc(Cl)c1)[C@@H]1CCCN(C(=O)N[C@H](CNCC(F)(F)F)CC2CCCCC2)C1,IC50,46.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL495587,CNC[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCCOC)c2cc(C)ccc2F)C1,IC50,3.5,nM,B,Homo sapiens,Homo sapiens
CHEMBL1790062,CC[C@@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC1CCCCC1)NC(=O)[C@@H](CC(=O)O)NC(=O)COc1ccccc1)C(C)C)C(=O)N(C)c1ccccn1,IC50,0.34,nM,B,Homo sapiens,Homo sapiens
CHEMBL443469,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(Cc3ccccc3Cl)C3CC3)[C@H]3CN(C(C)=O)C[C@@H](C2)N3)cc1,IC50,0.77,nM,B,Homo sapiens,Homo sapiens
CHEMBL508205,CC(=O)N1C[C@H]2N[C@H](CC(c3ccc(OCCOc4c(Cl)cc(C)cc4Cl)cc3)=C2C(=O)N(Cc2cccc(Cl)c2Cl)C2CC2)C1,IC50,7.1,nM,B,Homo sapiens,Homo sapiens
CHEMBL352523,COC(=O)C(O)[C@H](CC1CCCCC1)NC(=O)C(CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,IC50,24.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL312927,CC(C)CCNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)N1C(=O)C(c2ccccc2)CCC(=O)N[C@@H](Cc2ccccc2)C1=O,IC50,1500.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL313217,COC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,IC50,31000.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL76697,CCCc1nc(-c2cccnc2)cn2c(C(Cc3cccnc3)C(=O)NC(CC3CCCCC3)C(O)CC(C(=O)NCCN(C)C)C(C)C)nnc12,IC50,8.6,nM,B,Homo sapiens,Homo sapiens
CHEMBL75683,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCC(O)CC1,IC50,0.42,nM,B,Homo sapiens,Homo sapiens
CHEMBL3143478,CC(C)CCNC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CC[C@H](N)C(=O)O)C(C)C,IC50,0.28,nM,B,Homo sapiens,Homo sapiens
CHEMBL239527,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)[C@H](C)O2,IC50,1040.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL239965,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(c1cccc(F)c1F)O2,IC50,72.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL49862,CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cscn1)NC(=O)[C@@H](CC(=O)N1CCOCC1)Cc1ccccc1,IC50,8.3,nM,B,Homo sapiens,Homo sapiens
CHEMBL298370,CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)[C@@H](O)CCS(=O)(=O)CC(C)C,IC50,3200.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL353306,COC(=O)C(O)[C@H](CC1CCCCC1)NC(=O)C(CC(C)C)NC(=O)[C@H](Cc1ccccc1)N1Cc2ncccc2C1=O,IC50,207.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL52833,CCCCNC(=O)[C@@H](CC(O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)C[S+]([O-])C(C)(C)C)C(C)C,IC50,2.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL1957793,CCOC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@@H]2c2ccn(C)c(=O)c2)c(Cl)c1,IC50,11.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL398584,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCNC(C)=O)C(=O)C(C)(c1cc(F)cc(F)c1)O2,IC50,1.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL239746,CCc1nc(N)nc(N)c1-c1ccc2c(c1)N(CCCOC)C(=O)C(c1cc(F)cc(F)c1)O2,IC50,95.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL54322,CC[C@H](C)[C@H](NC(=O)[C@@H](CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)C(C)(C)C)C(C)C)C(=O)N[C@@H](Cc1c[nH]cn1)C(N)=O,IC50,20.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3897200,CCCCN(C(=O)c1cnc(C(C)(C)C)nc1NCc1ccco1)C1CCCNC1.Cl.Cl,IC50,2.1,nM,B,Homo sapiens,Homo sapiens
CHEMBL3926340,Cc1ncc(C(=O)N(C)C2CCCNC2)c(NCc2ccco2)n1.Cl.Cl,IC50,100000.0,nM,B,Homo sapiens,Homo sapiens
CHEMBL3986004,CC(C)CN(C(=O)c1cnc(C(C)(C)C)nc1NCc1ccco1)[C@@H]1CCCNC1.Cl.Cl,IC50,3.4,nM,B,Homo sapiens,Homo sapiens
